results.address_1,results.city,results.classification,results.code_info,results.country,results.distribution_pattern,event_id,results.initial_firm_notification,results.product_description,results.postal_code,results.product_quantity,results.product_type,results.reason_for_recall,results.recall_number,results.recalling_firm,results.state,results.status,results.voluntary_mandated,recall_initiation_date,report_date,center_classification_date,termination_date
7202 W Pershing Ct,Visalia,Class II,"Lot #001005-1, BB 04/2023",United States,xx,89115,Press Release,"Livia One Organic Daily Topical Spray Probiotics;   4 oz. (120 ml)  UPC: 0 30915 10710 5     Recommended use: Topical: Spray affected area 2-5 times daily as needed.     Ingredients: Proprietary probiotic blend in an enzyme enriched substrate:  Lactobacillus-Acidophilus, L. Rhamnosus, L-Salivarius, L. Casei, L-Plantarum, Lactococcus-Lactis, Streptocuccus-Thermophilus, Bifidobacterium-Bifidum, B-Lactus, B-Infantis, B-Breve, B-Longum.  Made with water and a proprietary blend of three organic grasses    Livia Global Inc., Visalia, CA.",93291-7909,571 bottles,Food,Probiotic products contaminated with Pseudomonas aeruginosa .,F-0358-2022,Livia Global,CA,Terminated,Voluntary: Firm initiated,2021-12-01,2021-12-22,2022-01-02,2022-04-29
7212 NW 78th Ter,Medley,Class II,No lot or batch number.,United States,Domestic distribution only.,82500,Telephone,"Samira Food Products Vegeterian 100% Soy Chunk, Net Wt. 8oz",33166-2219,48 units/8oz,Food,Failure to declare sulfites.,F-1306-2019,Traders West Inc,FL,Terminated,Voluntary: Firm initiated,2019-03-28,2019-05-01,2019-04-24,2019-10-09
726 S 12th St.,Milwaukee,Class I,Code Date 410074.= 10/1/2013 2039. = 9/30/2013 - 10/4/2013,United States,nationwide,66623,Letter,"Dairy Fresh Deluxe BLT Pasta Salad, UPC 0 70163 50074 7, 1/5 lb, Product Code .410074. Garden-Fresh Deluxe BLT Pasta Salad, UPC 0 11596 52039 1, 1/5 lb., Product Code 2039.",53204-1211,"94,346 total cases, for all varieties",Food,"Garden-Fresh Foods is recalling various ready-to-eat salads, slaw, and dip products sold under various brands and codes because they may be contaminated with Listeria monocytogenes.",F-0450-2014,"Garden-Fresh Foods, Inc.",WI,Terminated,Voluntary: Firm initiated,2013-09-20,2013-12-18,2013-12-10,2014-02-11
726 S 12th St.,Milwaukee,Class I,Code Date 9/30/2013 - 10/18/2013,United States,nationwide,66623,Letter,"Market Pantry Reduced Fat Coleslaw, UPC 0 85239 20117 6 15 oz, Product Code 201176.",53204-1211,"94,346 total cases, for all varieties",Food,"Garden-Fresh Foods is recalling various ready-to-eat salads, slaw, and dip products sold under various brands and codes because they may be contaminated with Listeria monocytogenes.",F-0430-2014,"Garden-Fresh Foods, Inc.",WI,Terminated,Voluntary: Firm initiated,2013-09-20,2013-12-18,2013-12-10,2014-02-11
726 S 12th St.,Milwaukee,Class I,0 11 11596 52204 9= 10/30/2013 - 11/20/2013    ; ;,United States,"CA, IL, IN, MA, MI,MN, MO, OH, PA, WI.",66677,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Garden-Fresh Farm Stand Pasta Salad,Product Code  0 11 11596 52204 9, 1/5 lb",53204-1211,"1,159,754.46 total pounds, for all varieties",Food,"Garden-Fresh Foods is recalling various ready-to-eat salads, slaw, and dip products sold under various brands and codes because they may be contaminated with Listeria monocytogenes.",F-0542-2014,"Garden-Fresh Foods, Inc.",WI,Terminated,Voluntary: Firm initiated,2013-10-30,2013-12-11,2013-12-02,2014-03-13
726 S 12th St.,Milwaukee,Class I,0 11596 50590   10/28/2013 - 11/6/2013;    0 11596 50592 3 10/28/2013 - 11/6/2013    ;,United States,"IL, IN, MI, MN, MO, OH, PA, WI.",66819,Press Release,"Garden-Fresh,	Red Cabbage Shredded,	1/5 lb.,		0 11596 50590,  	Manufactured on 10/28/2013 - 11/6/2013;  Garden-Fresh,	Red Cabbage Shredded	4/5 lb.,		0 11596 50592 3,	10/28/2013 - 11/6/2013;",53204-1211,"919,616.31 total pounds, for all products",Food,"Garden-Fresh Foods is recalling various cut vegetables,  ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013  because they may be contaminated with Listeria monocytogenes.",F-1020-2014,"Garden-Fresh Foods, Inc.",WI,Terminated,Voluntary: Firm initiated,2013-11-07,2013-12-25,2013-12-18,2015-10-29
726 S 12th St.,Milwaukee,Class I,"0 11596 51080 4, 11/22/2013 - 12/10/2013;  0 11596 14061 2, 0 11596 24061 9, 11/25/2013 - 12/10/2013;",United States,"IL, IN, MI, MN, MO, OH, PA, WI.",66819,Press Release,"Grandpa's	,Red Skin Potato Salad,	2/5 lb.,		0 11596 51080 4,	11/22/2013 - 12/10/2013;  Grandpa's,	Red Skin Potato Salad,	12/16 oz,.	0 11596 14061 2,	0 11596 24061 9,	11/25/2013 - 12/10/2013;",53204-1211,"919,616.31 total pounds, for all products",Food,"Garden-Fresh Foods is recalling various cut vegetables,  ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013  because they may be contaminated with Listeria monocytogenes.",F-1099-2014,"Garden-Fresh Foods, Inc.",WI,Terminated,Voluntary: Firm initiated,2013-11-07,2013-12-25,2013-12-18,2015-10-29
726 S 12th St.,Milwaukee,Class I,"0 11596 52014 8, 11/15/2013 - 11/30/2013;",United States,"IL, IN, MI, MN, MO, OH, PA, WI.",66819,Press Release,"Garden-Fresh,	Sweet & Sour Cucumber,	2/5 lb.,		 0 11596 52014 8,	11/15/2013 - 11/30/2013;",53204-1211,"919,616.31 total pounds, for all products",Food,"Garden-Fresh Foods is recalling various cut vegetables,  ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013  because they may be contaminated with Listeria monocytogenes.",F-1067-2014,"Garden-Fresh Foods, Inc.",WI,Terminated,Voluntary: Firm initiated,2013-11-07,2013-12-25,2013-12-18,2015-10-29
726 S 12th St.,Milwaukee,Class I,0 11596 52094 0 = 10/30/2013 - 11/17/2013   ; ;,United States,"CA, IL, IN, MA, MI,MN, MO, OH, PA, WI.",66677,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Garden-Fresh Whole Wheat Pasta With Sun Dried Tomatoes,Product Code  0 11596 52094 0	,1/5 lb",53204-1211,"1,159,754.46 total pounds, for all varieties",Food,"Garden-Fresh Foods is recalling various ready-to-eat salads, slaw, and dip products sold under various brands and codes because they may be contaminated with Listeria monocytogenes.",F-0539-2014,"Garden-Fresh Foods, Inc.",WI,Terminated,Voluntary: Firm initiated,2013-10-30,2013-12-11,2013-12-02,2014-03-13
726 S 12th St.,Milwaukee,Class I,"0 11596 55187 6, 12/6/2013;  ;",United States,"IL, IN, MI, MN, MO, OH, PA, WI.",66819,Press Release,"Garden-Fresh,	Seafood Salad Rouille,	1/5 lb.,		0 11596 55187 6,	12/6/2013;",53204-1211,"919,616.31 total pounds, for all products",Food,"Garden-Fresh Foods is recalling various cut vegetables,  ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013  because they may be contaminated with Listeria monocytogenes.",F-1039-2014,"Garden-Fresh Foods, Inc.",WI,Terminated,Voluntary: Firm initiated,2013-11-07,2013-12-25,2013-12-18,2015-10-29
726 S 12th St.,Milwaukee,Class I,0 11596 55678 9 = 11/11/2013 - 12/9/2013,United States,"CA, IL, IN, MA, MI,MN, MO, OH, PA, WI.",66677,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Spoon River Pimiento Spread, 0 11596 55678 9,	1/5 lb",53204-1211,"1,159,754.46 total pounds, for all varieties",Food,"Garden-Fresh Foods is recalling various ready-to-eat salads, slaw, and dip products sold under various brands and codes because they may be contaminated with Listeria monocytogenes.",F-0668-2014,"Garden-Fresh Foods, Inc.",WI,Terminated,Voluntary: Firm initiated,2013-10-30,2013-12-11,2013-12-02,2014-03-13
726 S 12th St.,Milwaukee,Class I,0 11596 55902 5 = 11/15/2013 - 12/13/2013;    0 85239 99015 5 = 11/1/2013;   0 85239 69053 6=11/1/2013;    0 11596 06170 2= 11/8/2013 - 12/15/2013,United States,"CA, IL, IN, MA, MI,MN, MO, OH, PA, WI.",66677,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Grandpas Artichoke Spinach Dip, Product Code 0 11596 55902 5,	1/5 lb;    Archer Farms Artichoke Spinach Dip, Product Code  0 85239 99015 5,	6/11 oz;  Archer Farms Artichoke Spinach Dip, Product Code 0 85239 69053 6,	4/18 oz;    Roundy's Artichoke Spinach Dip, Product Code  0 11596 06170 2,	6/12 oz",53204-1211,"1,159,754.46 total pounds, for all varieties",Food,"Garden-Fresh Foods is recalling various ready-to-eat salads, slaw, and dip products sold under various brands and codes because they may be contaminated with Listeria monocytogenes.",F-0655-2014,"Garden-Fresh Foods, Inc.",WI,Terminated,Voluntary: Firm initiated,2013-10-30,2013-12-11,2013-12-02,2014-03-13
726 S 12th St.,Milwaukee,Class I,0 11596 55905 6 = 11/2/2013 - 11/15/2013,United States,"CA, IL, IN, MA, MI,MN, MO, OH, PA, WI.",66677,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Grandpa Vegetable Bagel Spread, Product Code 0 11596 55905 6, 	1/5 lb",53204-1211,"1,159,754.46 total pounds, for all varieties",Food,"Garden-Fresh Foods is recalling various ready-to-eat salads, slaw, and dip products sold under various brands and codes because they may be contaminated with Listeria monocytogenes.",F-0657-2014,"Garden-Fresh Foods, Inc.",WI,Terminated,Voluntary: Firm initiated,2013-10-30,2013-12-11,2013-12-02,2014-03-13
726 S 12th St.,Milwaukee,Class I,0 11596 65634 2  = 10/30/2013 - 11/6/2013,United States,"CA, IL, IN, MA, MI,MN, MO, OH, PA, WI.",66677,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Garden-Fresh Anti Pasto Salad Kit,       Product Code  0 11596 65634 2 ,	1/6 lb",53204-1211,"1,159,754.46 total pounds, for all varieties",Food,"Garden-Fresh Foods is recalling various ready-to-eat salads, slaw, and dip products sold under various brands and codes because they may be contaminated with Listeria monocytogenes.",F-0625-2014,"Garden-Fresh Foods, Inc.",WI,Terminated,Voluntary: Firm initiated,2013-10-30,2013-12-11,2013-12-02,2014-03-13
726 S 12th St.,Milwaukee,Class I,"1) Garden-Fresh, 4205, 08/16/12; 2) Weis, 05848, 8/14/2012-8/16/2012, 1105, 8/14/2012-8/16/2012          Acme Homestyle Potato Salad, 4209, 8/14/2012-8/17/2012",United States,AZ  CA  FL  IA  IL  IN  MA  MI  MN  MO  OH  PA  TX  WI,62707,Letter,"Red Potato Salads: 1) Garden-Fresh Red Potato Salad, 2 lb., 0 11596 24205 7; 2) Weis Red Potato Salad, 16 oz., 0 41497 05848, 5 lb., 0 11596 51105 4",53204-1211,,Food,"Recalled salads, slaw, salsa, bean and dips contained onions that were recalled by Gills Onions due to potential Listeria monocytogenes contamination.",F-2251-2012,"Garden-Fresh Foods, Inc.",WI,Terminated,Voluntary: Firm initiated,2012-07-27,2012-09-19,2012-09-07,2012-11-15
726 S 12th St.,Milwaukee,Class I,10 733147 10196 1=  11/4/2013 - 11/20/2013; ;,United States,"CA, IL, IN, MA, MI,MN, MO, OH, PA, WI.",66677,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Finest Traditions Garden Vegetable Spaghetti, Product Code 10 733147 10196 1,	1/8 lb",53204-1211,"1,159,754.46 total pounds, for all varieties",Food,"Garden-Fresh Foods is recalling various ready-to-eat salads, slaw, and dip products sold under various brands and codes because they may be contaminated with Listeria monocytogenes.",F-0559-2014,"Garden-Fresh Foods, Inc.",WI,Terminated,Voluntary: Firm initiated,2013-10-30,2013-12-11,2013-12-02,2014-03-13
726 S 12th St.,Milwaukee,Class I,"38760, 08/01/12-08/08/12          Acme Homestyle Potato Salad, 4209, 8/14/2012-8/17/2012",United States,AZ  CA  FL  IA  IL  IN  MA  MI  MN  MO  OH  PA  TX  WI,62707,Letter,"Finest Traditions Blue Cheese Potato Salad, 8 lb., 10 733147 10137 4",53204-1211,,Food,"Recalled salads, slaw, salsa, bean and dips contained onions that were recalled by Gills Onions due to potential Listeria monocytogenes contamination.",F-2242-2012,"Garden-Fresh Foods, Inc.",WI,Terminated,Voluntary: Firm initiated,2012-07-27,2012-09-19,2012-09-07,2012-11-15
726 S 12th St.,Milwaukee,Class I,5915 = 11/2/2013 - 11/20/2013,United States,"CA, IL, IN, MA, MI,MN, MO, OH, PA, WI.",66677,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Grandpas Roasted Corn & Black Bean Salsa,  5915		11/2/2013 - 11/20/2013	12 1/5 lb",53204-1211,"1,159,754.46 total pounds, for all varieties",Food,"Garden-Fresh Foods is recalling various ready-to-eat salads, slaw, and dip products sold under various brands and codes because they may be contaminated with Listeria monocytogenes.",F-0677-2014,"Garden-Fresh Foods, Inc.",WI,Terminated,Voluntary: Firm initiated,2013-10-30,2013-12-11,2013-12-02,2014-03-13
726 S 12th St.,Milwaukee,Class I,7 33147 00027 4=10/30/2013 - 11/20/2013;  10 733147 10287 6= 11/4/2013 - 11/20/2013,United States,"CA, IL, IN, MA, MI,MN, MO, OH, PA, WI.",66677,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Finest Traditions Mock Crab Salad, 7 33147 00027 4, 6/16 oz  Finest Traditions Mock Crab Salad, 10 733147 10287 6,,1/8 lb",53204-1211,"1,159,754.46 total pounds, for all varieties",Food,"Garden-Fresh Foods is recalling various ready-to-eat salads, slaw, and dip products sold under various brands and codes because they may be contaminated with Listeria monocytogenes.",F-0610-2014,"Garden-Fresh Foods, Inc.",WI,Terminated,Voluntary: Firm initiated,2013-10-30,2013-12-11,2013-12-02,2014-03-13
726 S 12th St.,Milwaukee,Class I,"8 11839 01018 0, 12/5/2013",United States,"IL, IN, MI, MN, MO, OH, PA, WI.",66819,Press Release,"Copperwood Kitchens,	Steakhouse Macaroni Salad,	2/5 lb.,		8 11839 01018 0,	12/5/2013",53204-1211,"919,616.31 total pounds, for all products",Food,"Garden-Fresh Foods is recalling various cut vegetables,  ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013  because they may be contaminated with Listeria monocytogenes.",F-1060-2014,"Garden-Fresh Foods, Inc.",WI,Terminated,Voluntary: Firm initiated,2013-11-07,2013-12-25,2013-12-18,2015-10-29
726 S 12th St.,Milwaukee,Class I,"98105, 8/22/2012",United States,AZ  CA  FL  IA  IL  IN  MA  MI  MN  MO  OH  PA  TX  WI,62707,Letter,"Dairy Fresh Special  Recipe Mustard Potato Salad, 16 oz.., 0 70163 98105 8",53204-1211,,Food,"Recalled salads, slaw, salsa, bean and dips contained onions that were recalled by Gills Onions due to potential Listeria monocytogenes contamination.",F-2240-2012,"Garden-Fresh Foods, Inc.",WI,Terminated,Voluntary: Firm initiated,2012-07-27,2012-09-19,2012-09-07,2012-11-15
726 S 12th St.,Milwaukee,Class I,Garden-Fresh Family Style Macaroni Salad 2060 8/15/2012-8/17/2012,United States,AZ  CA  FL  IA  IL  IN  MA  MI  MN  MO  OH  PA  TX  WI,62707,Letter,Garden-Fresh Family Style Macaroni Salad	2060 5 lbs	0 11596 52060 5,53204-1211,3120 lbs,Food,"Recalled salads, slaw, salsa, bean and dips contained onions that were recalled by Gills Onions due to potential Listeria monocytogenes contamination.",F-2209-2012,"Garden-Fresh Foods, Inc.",WI,Terminated,Voluntary: Firm initiated,2012-07-27,2012-09-19,2012-09-07,2012-11-15
726 S 12th St.,Milwaukee,Class I,Product Code 4025 with Date codes 8/14/2012-8/17/2012,United States,AZ  CA  FL  IA  IL  IN  MA  MI  MN  MO  OH  PA  TX  WI,62707,Letter,"Acme Creamed Cabbage, Net Wt. 16 oz., UPC 0 11596 14025 1",53204-1211,756 LBS,Food,"Recalled salads, slaw, salsa, bean and dips contained onions that were recalled by Gills Onions due to potential Listeria monocytogenes contamination.",F-2171-2012,"Garden-Fresh Foods, Inc.",WI,Terminated,Voluntary: Firm initiated,2012-07-27,2012-09-19,2012-09-07,2012-11-15
726 S 12th St.,Milwaukee,Class II,0 11596 06143 6 = 11/10/2013 - 11/30/2013,United States,"CA, IL, IN, MA, MI,MN, MO, OH, PA, WI.",66677,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Farmers Market Salsa-Serrano-Spicy, 0 11596 06143 6,	 6/15 oz",53204-1211,"1,159,754.46 total pounds, for all varieties",Food,"Garden-Fresh Foods is recalling various ready-to-eat salads, slaw, and dip products sold under various brands and codes because they may be contaminated with Listeria monocytogenes.",F-0682-2014,"Garden-Fresh Foods, Inc.",WI,Terminated,Voluntary: Firm initiated,2013-10-30,2013-12-11,2013-12-02,2014-03-13
72600 Lewis & Clark Dr,Boardman,Class I,"MAR3117 0141S, Exp 2017-03-31",United States,nationwide,75805,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","HARVEST SNAPS, SNAPEA CRISPS, BLACK PEPPER FLAVORED GREEN PEA CRISPS, NET WT 3.3 OZ (93g)",97818,3588 units,Food,One lot of black pepper flavored green pea crisps may contain wasabi ranch flavored green pea crisps which contain milk which is not declared on the black pepper flavored product.,F-0609-2017,"Calbee North America, LLC",OR,Terminated,Voluntary: Firm initiated,2016-11-16,2016-12-14,2016-12-07,2017-01-25
7263 Kendaville Rd,Lakeview,Class I,"Made on 09/23/2016, Vat A",United States,Domestic: MI,75427,Telephone,"White Cheddar Cheese, 40 lb. blocks",48850-9563,1247.53 lbs.,Food,Farm Country Cheese House is conducting a voluntary recall of multiple vats of cheese due to potential contamination with Listeria monocytogenes.,F-0428-2017,"Farm Country Cheese House, Inc.",MI,Terminated,Voluntary: Firm initiated,2016-10-10,2016-11-23,2016-11-14,2017-05-02
7263 Kendaville Rd,Lakeview,Class II,"Made on 09/28/2016, Vat A",United States,Domestic: MI,75427,Telephone,"Hot Pepper Cheese, forty-five 40 lb. blocks",48850-9563,1878.76,Food,Farm Country Cheese House is conducting a voluntary recall of multiple vats of cheese due to inadequate pasteurization.,F-0431-2017,"Farm Country Cheese House, Inc.",MI,Terminated,Voluntary: Firm initiated,2016-10-10,2016-11-23,2016-11-14,2017-05-02
733 Bread And Milk St,Coventry,Class II,"Lot/Unit Numbers: 9-330, 9-348, 1-013, 1-036, 1-097",United States,"CT, PA, NY, NJ, AZ, MI, IL, NV, CA",94334,E-Mail,Charles Boggini Company Cola Flavoring Base; packaged in 1 gallon jugs and 5 gallon pails,06238-1014,2723 gallons,Food,Products contain undeclared sulfites.,F-1285-2024,Charles Boggini Company Llc,CT,Terminated,Voluntary: Firm initiated,2024-03-29,2024-06-12,2024-06-03,2024-07-03
733 Bread And Milk St,Coventry,Class II,Lot/Unit Numnber: 1-017,United States,"CT, PA, NY, NJ, AZ, MI, IL, NV, CA",94334,E-Mail,Charles Boggini Pink Lemonde; 1 or 5 U.S. Gallons,06238-1014,28 gallons,Food,Products contain undeclared FD&C Red No. 40,F-1284-2024,Charles Boggini Company Llc,CT,Terminated,Voluntary: Firm initiated,2024-03-29,2024-06-12,2024-06-03,2024-07-03
7345 SW 45th St,Miami,Class II,Lot # 030615 Exp. Date 07/18  UPC 897666001164,United States,FL and NV,72877,Other,"Moinsage, 60 capsules per bottle. Manufactured by Sunset Natural Products",33155-4509,"5,000 bottles (300,000 caps)",Food,"Pursuant to a consent decree that prohibits the company and its owners for marketing dietary supplements until they, among other things, recall and destroy the dietary supplements that have been manufatured or distributed since April 2, 2014, hire a cGMP expert and receive written permission from FDA to resume operations.",F-0539-2016,Sunset Natural Products Inc.,FL,Terminated,FDA Mandated,2015-10-05,2016-02-24,2016-02-17,2017-04-10
7345 SW 45th St,Miami,Class II,"As persuant to the Consent Decree, the firm agreed to ""recall and destroy, under FDA's supervision, in accordance with the procedures provided in paragraph 6, ALL dietary supplements that were manufactured, prepared, processed, packed, labeled, held and/or distributed between April 2, 2014 and the date of entry of this Decree.""  The Decree was entered on September 25, 2015.    Known lot and expiration date: Lot # 200115 Exp. Date 01/18",United States,"Products distributed to Florida, Nevada and the Dominican Republic",74054,Letter,"Liver Energy, 100 capsules per bottle",33155-4509,"124 Bottles (18,000 capsules)",Food,"Pursuant to a consent decree that prohibits the company and its owners for marketing dietary supplements until they, among other things, recall and destroy the dietary supplements that have been manufactured or distributed since April 2, 2014, hire a cGMP expert and receive written permission from FDA to resume operations.",F-0932-2017,Sunset Natural Products Inc.,FL,Terminated,FDA Mandated,2015-10-13,2017-01-04,2016-12-28,2017-04-10
7345 SW 45th St,Miami,Class II,"As persuant to the Consent Decree, the firm agreed to ""recall and destroy, under FDA's supervision, in accordance with the procedures provided in paragraph 6, ALL dietary supplements that were manufactured, prepared, processed, packed, labeled, held and/or distributed between April 2, 2014 and the date of entry of this Decree.""  The Decree was entered on September 25, 2015.    Known lot: Lot # 440914",United States,"Products distributed to Florida, Nevada and the Dominican Republic",74054,Letter,Oyster Dietary Supplement (unknown container size),33155-4509,unknown,Food,"Pursuant to a consent decree that prohibits the company and its owners for marketing dietary supplements until they, among other things, recall and destroy the dietary supplements that have been manufactured or distributed since April 2, 2014, hire a cGMP expert and receive written permission from FDA to resume operations.",F-1033-2017,Sunset Natural Products Inc.,FL,Terminated,FDA Mandated,2015-10-13,2017-01-04,2016-12-28,2017-04-10
7345 SW 45th St,Miami,Class II,"As persuant to the Consent Decree, the firm agreed to ""recall and destroy, under FDA's supervision, in accordance with the procedures provided in paragraph 6, ALL dietary supplements that were manufactured, prepared, processed, packed, labeled, held and/or distributed between April 2, 2014 and the date of entry of this Decree.""  The Decree was entered on September 25, 2015.    Known lots and expiration dates: Lot # 020514 Exp. Date 05/17, Lot # 030514 Exp. Date 05/17, Lot # 040514 Exp. Date 05/17, Lot # 140514 Exp. Date 06/17, Lot # 150514 Exp. Date 06/17, Lot # 440514 Exp. Date 05/17, Lot # 500514 Exp. Date 05/17, Lot # 510514 Exp. Date 05/17, Lot # 520514 Exp. Date 05/17, Lot # 530514 Exp. Date 05/17, Lot # 540514 Exp. Date 06/17, Lot # 550514 Exp. Date 06/17,  Lot # 560514 Exp. Date 06/17, Lot # 570514 Exp. Date 06/17, Lot # 580514 Exp. Date 06/17, Lot # 590514 Exp. Date 06/17, Lot # 600514 Exp. Date 06/17, Lot # 600514 Exp. Date 06/17, Lot # 610514 Exp. Date 06/17, Lot # 620514 Exp. Date 07/17, Lot # 020714 Exp. Date 07/17, Lot # 240714 Exp. Date 07/17,Lot # 250714 Exp. Date 07/17, Lot # 260714 Exp. Date 07/17, Lot # 270714 Exp. Date 07/17, Lot # 280714 Exp. Date 07/17, Lot # 290714 Exp. Date 07/17, Lot # 300714 Exp. Date 07/17, Lot # 310714 Exp. Date 08/17, Lot # 320714 Exp. Date 08/17, Lot # 330714 Exp. Date 08/17, Lot # 340714 Exp. Date 08/17, Lot # 350714 Exp. Date 08/17, Lot # 380714 Exp. Date 09/17, Lot # 390714 Exp. Date 09/17, Lot # 400714 Exp. Date 09/17, Lot # 410714 Exp. Date 10/17, Lot # 280814 Exp. Date 10/17, Lot # 290814 Exp. Date 10/17, Lot # 300814 Exp. Date 10/17, Lot # 310814 Exp. Date 10/17, Lot # 320814 Exp. Date 10/17, Lot # 230914 Exp. Date 09/17, Lot # 270914 Exp. Date 10/17, Lot # 081014 Exp. Date 11/17, Lot # 091014 Exp. Date 11/17, Lot # 020615 Exp. Date 07/18, Lot # 040615 Exp. Date 07/18, Lot # 170615 Exp. Date 07/18, Lot # 180615 Exp. Date 08/18, Lot # 390615 Exp. Date 08/18, Lot # 480615 Exp. Date 08/18, Lot # 160715 Exp. Date 07/18",United States,"Products distributed to Florida, Nevada and the Dominican Republic",74054,Letter,"Colon Therapy, bulk capsules",33155-4509,"19,455,300",Food,"Pursuant to a consent decree that prohibits the company and its owners for marketing dietary supplements until they, among other things, recall and destroy the dietary supplements that have been manufactured or distributed since April 2, 2014, hire a cGMP expert and receive written permission from FDA to resume operations.",F-0978-2017,Sunset Natural Products Inc.,FL,Terminated,FDA Mandated,2015-10-13,2017-01-04,2016-12-28,2017-04-10
7345 SW 45th St,Miami,Class II,"As persuant to the Consent Decree, the firm agreed to ""recall and destroy, under FDA's supervision, in accordance with the procedures provided in paragraph 6, ALL dietary supplements that were manufactured, prepared, processed, packed, labeled, held and/or distributed between April 2, 2014 and the date of entry of this Decree.""  The Decree was entered on September 25, 2015.    Known lots and expiration dates: Lot # 140714 Exp. Date 08/17, Lot # 310914 Exp. Date 10/17, Lot # 560914 Exp. Date 10/17, Lot # 271214 Exp. Date 12/17, Lot # 070115 Exp. Date 01/18, Lot # 460315 Exp. Date 04/18, Lot # 080615 Exp. Date 08/18",United States,"Products distributed to Florida, Nevada and the Dominican Republic",74054,Letter,"DHEA 25 mg, bulk capsules",33155-4509,"1,444,900 capsules",Food,"Pursuant to a consent decree that prohibits the company and its owners for marketing dietary supplements until they, among other things, recall and destroy the dietary supplements that have been manufactured or distributed since April 2, 2014, hire a cGMP expert and receive written permission from FDA to resume operations.",F-0994-2017,Sunset Natural Products Inc.,FL,Terminated,FDA Mandated,2015-10-13,2017-01-04,2016-12-28,2017-04-10
7350 W Rike Rd,Covington,Class II,Best By 4/2022,United States,Products were distributed in the state of OH.,86723,E-Mail,Rosebud's brand Elderberry Syrup Kit in a 3 oz. clear stand-up pouch (GS1 Code 852782007834).,45318-9648,41 units.,Food,Potential salmonella contamination in elderberries.,F-0118-2021,"Rosebud's Ranch and Garden, LLC",OH,Terminated,Voluntary: Firm initiated,2020-11-06,2020-11-25,2020-11-18,2023-03-14
747 W 4170 S,Murray,Class II,VPSU15032250 21029a 03/31/2023 VPSU15032250 21031a 03/31/2023,United States,Nationwide - all 48 states plus Washington DC and Puerto Rico.  Australia and United Arab Emirates (Dubai).,90607,E-Mail,"Sweetums 24% sucrose solution with preservative. Vials containing 1ml or 2ml of 24% sucrose in purified water.  Product is administered by drop using vials and tip allows controlled administration directly to tongue or buccal surface.  Product is only used in the hospital setting including the NICU.     -VPSU15032250, 1mL vial, bagged qty 250",84123-1364,"10,922 boxes (250 vials/box) total",Food,"Firm received complaints of leaking, black liquid, and black particulates in the product vials.",F-1685-2022,"Clinical Innovations, LLC",UT,Terminated,Voluntary: Firm initiated,2022-07-19,2022-09-07,2022-09-01,2023-03-20
750 Pine St,Burlington,Class II,Best By 11/20/21,United States,"CA, CT, MA, NH, NY, RI, TX, VT, VA",87723,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Organic Mr. Goodtime Bunny***NET WT 3.35 LBS (1.4kg)***INGREDIENTS: *Milk, *Dark, AND *WHITE CHOCOLATE (*SUGAR, *MILK POWDER, *COCOA BUTTER, *CHOCOLATE LIQUOR, *COCOA POWDER (PROCESSED WITH ALKALI), *SOYBEAN LECITHIN, *VANILLA EXTRACT, AND *VANILLA POWDER). CONTAINS MILK AND SOYBEAN. MAY CONTAIN TRACES OF PEANUTS, TREE NUTS, AND WHEAT. *ORGANIC.    Product is packaged in a clear plastic cellophane    UPC 769933054510",05401-4923,443 bunnies (total),Food,Product potentially contains undeclared almonds.,F-0467-2021,Champlain Chocolate Company,VT,Terminated,Voluntary: Firm initiated,2021-04-14,2021-05-05,2021-04-28,2022-05-25
751 Eight Twenty Blvd Ste 101,Fort Worth,Class II,Lot Number: 108185,United States,"TX, IL, KS, NC",76313,Letter,"Circle U Foods, Inc. Product Code: 100002 AF/TV Taco Seasoning Bag Weight: 1.1250 Lbs.",76106-1972,8 cases,Food,Potential  glass inclusion,F-1447-2017,"Circle U Foods, Inc",TX,Terminated,Voluntary: Firm initiated,2017-01-24,2017-02-15,2017-02-07,2017-05-11
